Sentence,Entity,Output
I enjoy ເອີຣົບ,Cuisine,ເອີຣົບ
I enjoy Fast food,Cuisine,Fast food
I want to spend around 634,Money,634
I live in Pingtung County,Location,Pingtung County
I love ແມັກຊິໂກ food,Cuisine,ແມັກຊິໂກ
From Kaohsiung City here,Location,Kaohsiung City
I have 156 to spend,Money,156
Currently in Makati City,Location,Makati City
Lakshmipur is my location,Location,Lakshmipur
I'm in the mood for ရောနှောအစားအစာ,Cuisine,ရောနှောအစားအစာ
My home Tak is Tak,Location,Tak
I have 587 to spend,Money,587
I'm looking for something within 840,Money,840
Borikhamxay is my place,Location,Borikhamxay
Hailing from Lamphun,Location,Lamphun
Yala is my location,Location,Yala
I can afford 886,Money,886
My home Nibong Tebal is Nibong Tebal,Location,Nibong Tebal
I'm comfortable spending 835,Money,835
I reside in Chiang Rai,Location,Chiang Rai
Bagerhat is where I reside,Location,Bagerhat
Living in Battambang,Location,Battambang
I love International food,Cuisine,International
Currently in Mymensingh,Location,Mymensingh
Pabna is my current Pabna,Location,Pabna
Savar is where I reside,Location,Savar
My home Miri is Miri,Location,Miri
I enjoy ຍີ່ປຸ່ນ,Cuisine,ຍີ່ປຸ່ນ
I'm located in Pirojpur,Location,Pirojpur
Savannakhet is my home,Location,Savannakhet
Mee Goreng is my favorite,Cuisine,Mee Goreng
I can spend up to 212,Money,212
Xayaboury is my home,Location,Xayaboury
I'm comfortable spending 693,Money,693
Living in Dhaka,Location,Dhaka
I have 262 to spend,Money,262
I'm willing to pay 469,Money,469
My favorite is Indická,Cuisine,Indická
I enjoy ဖက်ထုပ်,Cuisine,ဖက်ထုပ်
I'm willing to pay 606,Money,606
I'm willing to pay 372,Money,372
My budget is 403,Money,403
Hong Kong is my current Hong Kong,Location,Hong Kong
I would like တရုတ်အစားအစာ cuisine,Cuisine,တရုတ်အစားအစာ
Mudon is my place,Location,Mudon
I'm looking for အ‌ရှေ့တောင်အာရှအစားအစာ,Cuisine,အ‌ရှေ့တောင်အာရှအစားအစာ
I'm in the mood for Grécka,Cuisine,Grécka
Hailing from Nantou County,Location,Nantou County
I can afford 387,Money,387
My location is Budaörs,Location,Budaörs
I'm located in Bago,Location,Bago
Let's go for ເອີຣົບ,Cuisine,ເອີຣົບ
I enjoy Mediterranean,Cuisine,Mediterranean
I'm craving ກະແລັມ,Cuisine,ກະແລັມ
I'm interested in Desszertek,Cuisine,Desszertek
I can afford 65,Money,65
My favorite is Ulam,Cuisine,Ulam
I can spend up to 222,Money,222
Kampar is my current Kampar,Location,Kampar
My favorite is Rice Bowl,Cuisine,Rice Bowl
I love Beverage food,Cuisine,Beverage
I'm comfortable spending 388,Money,388
Nong Khai is where I live,Location,Nong Khai
I'm located in Arau,Location,Arau
I am currently living in Sibu,Location,Sibu
I am currently living in Ta Khmau,Location,Ta Khmau
I'm in Lakshmipur,Location,Lakshmipur
How about Chinese,Cuisine,Chinese
I want to spend around 143,Money,143
I have around 328 for the meal,Money,328
I would like Orosz cuisine,Cuisine,Orosz
Let's go for Szendvics,Cuisine,Szendvics
I'm willing to pay 971,Money,971
Living in Kota Tinggi,Location,Kota Tinggi
My favorite is Sandwich,Cuisine,Sandwich
How about Dessert,Cuisine,Dessert
I have 496 to spend,Money,496
I love Pasta food,Cuisine,Pasta
I can spend up to 312,Money,312
I'm looking for Cart Noodles,Cuisine,Cart Noodles
Hailing from Manikganj,Location,Manikganj
Let's go for Cart Noodles,Cuisine,Cart Noodles
How about Talianska,Cuisine,Talianska
I want to spend around 138,Money,138
I can afford 433,Money,433
I'm willing to pay 580,Money,580
I live in Kampong Cham,Location,Kampong Cham
Let's go for Vietnámi,Cuisine,Vietnámi
I'm looking for Mexikói,Cuisine,Mexikói
I'm ready to spend 778,Money,778
Let's go for ເກົາຫຼີ,Cuisine,ເກົາຫຼີ
I'm willing to pay 505,Money,505
I'm willing to pay 898,Money,898
I live in Samut Sakhon,Location,Samut Sakhon
Khammouane is my home,Location,Khammouane
In Debrecen right now,Location,Debrecen
Taungoo is my location,Location,Taungoo
Living in Gaibandha,Location,Gaibandha
Hailing from Kamphaeng Phet,Location,Kamphaeng Phet
I can spend up to 805,Money,805
I can afford 913,Money,913
I'm willing to pay 27,Money,27
I'm looking for Ázijská,Cuisine,Ázijská
I'm craving Savouries,Cuisine,Savouries
I'm looking for Dumpling,Cuisine,Dumpling
My favorite is Turecká,Cuisine,Turecká
I'm willing to pay 200,Money,200
My location is Natore,Location,Natore
I can spend up to 268,Money,268
I have 385 to spend,Money,385
My budget is 207,Money,207
Currently in Sahiwal,Location,Sahiwal
My current Bratislava is Bratislava,Location,Bratislava
Hailing from Hong Kong,Location,Hong Kong
My location is Miaoli County,Location,Miaoli County
My budget is 155,Money,155
I'm looking for something within 107,Money,107
How about Indická,Cuisine,Indická
Francia is my favorite,Cuisine,Francia
I enjoy Southern Thai,Cuisine,Southern Thai
Porridge is my favorite,Cuisine,Porridge
Hong Kong is where I reside,Location,Hong Kong
I'm interested in Francúzska,Cuisine,Francúzska
I'm comfortable spending 392,Money,392
I'm craving ဂျပန်အစားအစာ,Cuisine,ဂျပန်အစားအစာ
Kulai is my home,Location,Kulai
I'm comfortable spending 744,Money,744
I'm in the mood for Mexikói,Cuisine,Mexikói
I'm ready to spend 844,Money,844
My current Terengganu is Terengganu,Location,Terengganu
Prachinburi is where I live,Location,Prachinburi
My favorite is ကိတ်များ,Cuisine,ကိတ်များ
I want to spend around 707,Money,707
I can spend up to 191,Money,191
My current Bagerhat is Bagerhat,Location,Bagerhat
Ipoh is my current Ipoh,Location,Ipoh
I would like Isan Thai cuisine,Cuisine,Isan Thai
From Bayan Baru here,Location,Bayan Baru
Mymensingh is my home,Location,Mymensingh
Phra Nakhon Si Ayutthaya is my home,Location,Phra Nakhon Si Ayutthaya
I would like ເກົາຫຼີ cuisine,Cuisine,ເກົາຫຼີ
Kalasin is my current Kalasin,Location,Kalasin
I'm looking for something within 696,Money,696
I have 922 to spend,Money,922
From Gopalganj here,Location,Gopalganj
I'm interested in Spanyol,Cuisine,Spanyol
Hailing from Phrae,Location,Phrae
My favorite is မုန့်တိုက်,Cuisine,မုန့်တိုက်
How about ອາຫານຈີນ,Cuisine,ອາຫານຈີນ
My location is Huaphanh,Location,Huaphanh
I live in Chachoengsao,Location,Chachoengsao
I'm craving Halétel,Cuisine,Halétel
I reside in Seri Iskandar,Location,Seri Iskandar
I'm looking for something within 279,Money,279
I want to try Milk Tea,Cuisine,Milk Tea
I enjoy Magyaros,Cuisine,Magyaros
I want to try Grill,Cuisine,Grill
Let's go for ຟີລິບປິນ,Cuisine,ຟີລິບປິນ
Shawarma is my favorite,Cuisine,Shawarma
I have 873 to spend,Money,873
My current Narsingdi is Narsingdi,Location,Narsingdi
I would like 甜點 cuisine,Cuisine,甜點
I want to try Amerikai,Cuisine,Amerikai
I'm craving Takoyaki,Cuisine,Takoyaki
Hailing from Mardan,Location,Mardan
I'm in the mood for ອາເມລິກາ,Cuisine,ອາເມລິກາ
I can afford 218,Money,218
I reside in Mersing,Location,Mersing
My current Nilphamari is Nilphamari,Location,Nilphamari
I'm willing to pay 201,Money,201
I enjoy Rice Bowl,Cuisine,Rice Bowl
Taungoo is where I reside,Location,Taungoo
I enjoy ဂျပန်အစားအစာ,Cuisine,ဂျပန်အစားအစာ
I'm in the mood for Bread,Cuisine,Bread
How about မက္ကဆီကန်အစားအစာ,Cuisine,မက္ကဆီကန်အစားအစာ
How about Pancakes & Waffles,Cuisine,Pancakes & Waffles
My budget is 172,Money,172
I can spend up to 741,Money,741
I would like Fusion cuisine,Cuisine,Fusion
I'm craving Mee Goreng,Cuisine,Mee Goreng
Spanyol is my favorite,Cuisine,Spanyol
I can afford 353,Money,353
I can afford 118,Money,118
I'm ready to spend 836,Money,836
I'm comfortable spending 985,Money,985
I'm interested in Udon,Cuisine,Udon
I want to try Vietnámi,Cuisine,Vietnámi
Yunlin County is my home,Location,Yunlin County
Let's go for Salads,Cuisine,Salads
I'm comfortable spending 148,Money,148
I would like ຫວຽດນາມ cuisine,Cuisine,ຫວຽດນາມ
My budget is 95,Money,95
I reside in Saravane,Location,Saravane
I have 118 to spend,Money,118
I'm willing to pay 576,Money,576
Fruits is my favorite,Cuisine,Fruits
I have 527 to spend,Money,527
I want to try ອາຫານຈີນ,Cuisine,ອາຫານຈີນ
I enjoy ဒင်ဆမ်း,Cuisine,ဒင်ဆမ်း
I'm comfortable spending 253,Money,253
My location is Xayaboury,Location,Xayaboury
I'm looking for something within 675,Money,675
Cox's Bazar is my place,Location,Cox's Bazar
My favorite is Szerb,Cuisine,Szerb
Ratchaburi is my current Ratchaburi,Location,Ratchaburi
I am currently living in Preah Sihanouk,Location,Preah Sihanouk
Let's go for Sandwiches,Cuisine,Sandwiches
I love ဒင်ဆမ်း food,Cuisine,ဒင်ဆမ်း
I reside in Prešov,Location,Prešov
I can spend up to 707,Money,707
Faridpur is my current location,Location,Faridpur
I'm ready to spend 606,Money,606
I'm looking for ຍີ່ປຸ່ນ,Cuisine,ຍີ່ປຸ່ນ
I'm looking for Fusion,Cuisine,Fusion
I enjoy 日式,Cuisine,日式
I'm looking for ອາຫານທະເລ,Cuisine,ອາຫານທະເລ
I'm willing to pay 790,Money,790
My favorite is ຊານົມໄຂ່ມຸກ,Cuisine,ຊານົມໄຂ່ມຸກ
Khon Kaen is my current Khon Kaen,Location,Khon Kaen
I have around 100 for the meal,Money,100
My budget is 354,Money,354
Thajská is my favorite,Cuisine,Thajská
Living in Khon Kaen,Location,Khon Kaen
I'm looking for Amerikai,Cuisine,Amerikai
I'm comfortable spending 16,Money,16
I'm comfortable spending 256,Money,256
I'm ready to spend 710,Money,710
I'm looking for something within 21,Money,21
Living in Lashio,Location,Lashio
I'm craving Japanese,Cuisine,Japanese
I'm comfortable spending 811,Money,811
My budget is 196,Money,196
I'm ready to spend 265,Money,265
I want to spend around 136,Money,136
Preah Sihanouk is my place,Location,Preah Sihanouk
I live in Hualien County,Location,Hualien County
Let's go for Briyani,Cuisine,Briyani
Kota Kinabalu is my place,Location,Kota Kinabalu
I'm comfortable spending 737,Money,737
I'm ready to spend 430,Money,430
I love Leves food,Cuisine,Leves
My location is Nitra,Location,Nitra
I'm in the mood for Nápoje,Cuisine,Nápoje
I reside in Yilan County,Location,Yilan County
I'm in Taguig City,Location,Taguig City
I'm willing to pay 407,Money,407
Currently in Chaiyaphum,Location,Chaiyaphum
From Loei here,Location,Loei
I'm in the mood for Steak,Cuisine,Steak
I want to spend around 178,Money,178
My favorite is Japanese,Cuisine,Japanese
Living in Kuantan,Location,Kuantan
I have 517 to spend,Money,517
My budget is 151,Money,151
I would like Wraps cuisine,Cuisine,Wraps
I'm in the mood for Leves,Cuisine,Leves
I'm willing to pay 953,Money,953
Xayaboury is my current Xayaboury,Location,Xayaboury
I can afford 924,Money,924
I'm located in Taoyuan City,Location,Taoyuan City
Lampang is my home,Location,Lampang
Phetchaburi is where I reside,Location,Phetchaburi
I have 743 to spend,Money,743
I love 健康餐 food,Cuisine,健康餐
I enjoy Malay,Cuisine,Malay
I'm interested in ဟင်းလျာ,Cuisine,ဟင်းလျာ
I'm interested in ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ,Cuisine,ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ
I can spend up to 38,Money,38
I'm craving Vietnamese,Cuisine,Vietnamese
Puchong is where I live,Location,Puchong
I'm in Islamabad,Location,Islamabad
Currently in Port Dickson,Location,Port Dickson
I can afford 445,Money,445
I want to spend around 229,Money,229
Hailing from Mae Hong Son,Location,Mae Hong Son
Szentendre is my current location,Location,Szentendre
I can spend up to 420,Money,420
I love Vietnamese food,Cuisine,Vietnamese
Oudomxay is my current Oudomxay,Location,Oudomxay
I live in Gujrat,Location,Gujrat
In Svay Rieng right now,Location,Svay Rieng
My budget is 184,Money,184
I live in Sialkot,Location,Sialkot
I love ຮາລາລ food,Cuisine,ຮາລາລ
I'm interested in Mediterranean,Cuisine,Mediterranean
I'm willing to pay 523,Money,523
I live in Bintulu,Location,Bintulu
My favorite is ပင်လယ်စာ,Cuisine,ပင်လယ်စာ
My current Lapu-Lapu City Cebu is Lapu-Lapu City Cebu,Location,Lapu-Lapu City Cebu
I live in Nakhon Sawan,Location,Nakhon Sawan
I want to spend around 271,Money,271
How about အိန္ဒိယအစားအစာ,Cuisine,အိန္ဒိယအစားအစာ
My location is Nilphamari,Location,Nilphamari
Mandaluyong City is my location,Location,Mandaluyong City
I'm in Khulna,Location,Khulna
I'm interested in Taiwanese,Cuisine,Taiwanese
My current Lampang is Lampang,Location,Lampang
I can spend up to 271,Money,271
I'm ready to spend 173,Money,173
I live in Rawalpindi,Location,Rawalpindi
I want to try Pancakes & Waffles,Cuisine,Pancakes & Waffles
I'm located in Faisalabad,Location,Faisalabad
I'm interested in ຟີລິບປິນ,Cuisine,ຟີລິບປິນ
I'm in the mood for Vietnámi,Cuisine,Vietnámi
I can afford 353,Money,353
I love Stredomorská food,Cuisine,Stredomorská
Currently in Pursat,Location,Pursat
Sekong is where I live,Location,Sekong
I want to try Török,Cuisine,Török
I'm craving ကြက်သား,Cuisine,ကြက်သား
How about Cart Noodles,Cuisine,Cart Noodles
How about Wraps & Rolls,Cuisine,Wraps & Rolls
I'm in Yangon,Location,Yangon
I want to spend around 710,Money,710
I have around 139 for the meal,Money,139
I have around 439 for the meal,Money,439
I want to spend around 868,Money,868
I'm looking for Fries,Cuisine,Fries
I have around 613 for the meal,Money,613
I live in Sitiawan,Location,Sitiawan
I can spend up to 648,Money,648
I am currently living in Kampar,Location,Kampar
Hailing from Lampang,Location,Lampang
I have around 310 for the meal,Money,310
My location is Taguig City,Location,Taguig City
Kerian is where I reside,Location,Kerian
I'm in the mood for လက်ဖက်ရည်နှင့် ကော်ဖီ,Cuisine,လက်ဖက်ရည်နှင့် ကော်ဖီ
My favorite is Mediterranean,Cuisine,Mediterranean
I reside in Phatthalung,Location,Phatthalung
I'm interested in ရောနှောအစားအစာ,Cuisine,ရောနှောအစားအစာ
I want to spend around 591,Money,591
I have around 104 for the meal,Money,104
I'm looking for something within 583,Money,583
I would like Sichuan cuisine,Cuisine,Sichuan
Bahawalpur is where I live,Location,Bahawalpur
I can afford 126,Money,126
Living in Bogra,Location,Bogra
My favorite is Dumpling,Cuisine,Dumpling
I enjoy Ázsiai,Cuisine,Ázsiai
My favorite is ကြက်ကြော်,Cuisine,ကြက်ကြော်
I love ແມັກຊິໂກ food,Cuisine,ແມັກຊິໂກ
I enjoy Rice Dishes,Cuisine,Rice Dishes
Currently in Nakhon Si Thammarat,Location,Nakhon Si Thammarat
My favorite is Talianska,Cuisine,Talianska
I live in Tainan City,Location,Tainan City
In Natore right now,Location,Natore
My location is Makati City,Location,Makati City
လက်ဖက်ရည်နှင့် ကော်ဖီ is my favorite,Cuisine,လက်ဖက်ရည်နှင့် ကော်ဖီ
How about 港式,Cuisine,港式
My budget is 812,Money,812
Living in Kota Tinggi,Location,Kota Tinggi
Sukkur is where I live,Location,Sukkur
I'm in Kaohsiung City,Location,Kaohsiung City
Let's go for Hong Kong,Cuisine,Hong Kong
I am currently living in Chittagong,Location,Chittagong
Mexikói is my favorite,Cuisine,Mexikói
I'm interested in ခေါက်ဆွဲမျိုးစုံ,Cuisine,ခေါက်ဆွဲမျိုးစုံ
Chinese is my favorite,Cuisine,Chinese
I'm looking for something within 649,Money,649
Sepang is where I live,Location,Sepang
Let's go for Szendvics,Cuisine,Szendvics
I'm comfortable spending 519,Money,519
I want to spend around 993,Money,993
Sibu is where I reside,Location,Sibu
I love ဂျပန်အစားအစာ food,Cuisine,ဂျပန်အစားအစာ
I can spend up to 369,Money,369
I want to spend around 755,Money,755
I can spend up to 761,Money,761
I enjoy အိန္ဒိယအစားအစာ,Cuisine,အိန္ဒိယအစားအစာ
I'm willing to pay 753,Money,753
Natore is where I reside,Location,Natore
Košice is where I live,Location,Košice
I can spend up to 497,Money,497
I would like Ice Cream cuisine,Cuisine,Ice Cream
I'm looking for Taiwanese,Cuisine,Taiwanese
I want to try Cha Chaan Teng,Cuisine,Cha Chaan Teng
My budget is 443,Money,443
Loei is my location,Location,Loei
Bhola is where I reside,Location,Bhola
I'm craving Szerb,Cuisine,Szerb
My budget is 513,Money,513
I'm in the mood for Nápoje,Cuisine,Nápoje
I have 548 to spend,Money,548
I'm willing to pay 834,Money,834
Let's go for Siu Mei,Cuisine,Siu Mei
I love Filipino food,Cuisine,Filipino
I'm willing to pay 527,Money,527
My budget is 145,Money,145
Currently in Taichung City,Location,Taichung City
Surin is where I live,Location,Surin
Phayao is where I reside,Location,Phayao
Phetchabun is where I reside,Location,Phetchabun
I have around 599 for the meal,Money,599
I'm comfortable spending 397,Money,397
I'm willing to pay 176,Money,176
I live in Vientiane Province,Location,Vientiane Province
I'm comfortable spending 409,Money,409
My favorite is Fries,Cuisine,Fries
Let's go for ငါး,Cuisine,ငါး
I can afford 315,Money,315
I'm willing to pay 635,Money,635
I'm in the mood for Wraps & Rolls,Cuisine,Wraps & Rolls
I'm looking for something within 927,Money,927
I want to try American,Cuisine,American
I have around 774 for the meal,Money,774
I am currently living in Natore,Location,Natore
I'm in the mood for Burgers,Cuisine,Burgers
I would like အသားညှပ်ပေါင်မုန့် cuisine,Cuisine,အသားညှပ်ပေါင်မုန့်
I can spend up to 211,Money,211
My home Phetchabun is Phetchabun,Location,Phetchabun
Muntinlupa City is where I live,Location,Muntinlupa City
Sheikhupura is my home,Location,Sheikhupura
I'm willing to pay 428,Money,428
From Shah Alam here,Location,Shah Alam
My current Lamphun is Lamphun,Location,Lamphun
My home Saraburi is Saraburi,Location,Saraburi
I'm ready to spend 84,Money,84
I'm in the mood for Dim Sum,Cuisine,Dim Sum
I'm comfortable spending 77,Money,77
I want to try ແຊນວິດ,Cuisine,ແຊນວິດ
ເຄື່ອງດື່ມ is my favorite,Cuisine,ເຄື່ອງດື່ມ
I'm interested in ຫວຽດນາມ,Cuisine,ຫວຽດນາມ
Let's go for ဒင်ဆမ်း,Cuisine,ဒင်ဆမ်း
I can afford 506,Money,506
I want to try Vietnamská,Cuisine,Vietnamská
I can afford 325,Money,325
Terengganu is my location,Location,Terengganu
My home Nitra is Nitra,Location,Nitra
I am currently living in Mandaluyong City,Location,Mandaluyong City
I'm willing to pay 750,Money,750
I'm looking for something within 492,Money,492
I can spend up to 213,Money,213
Satun is where I live,Location,Satun
I can afford 474,Money,474
I can spend up to 764,Money,764
I'm willing to pay 413,Money,413
I'm looking for Argentín,Cuisine,Argentín
I'm craving Halo-Halo,Cuisine,Halo-Halo
Living in Sungai Petani,Location,Sungai Petani
I have around 324 for the meal,Money,324
Taitung County is my current location,Location,Taitung County
Rice Bowl is my favorite,Cuisine,Rice Bowl
I reside in Wah Cantt,Location,Wah Cantt
My budget is 283,Money,283
Taguig City is my location,Location,Taguig City
I love Spanyol food,Cuisine,Spanyol
My budget is 583,Money,583
I can afford 804,Money,804
I'm willing to pay 302,Money,302
I'm looking for something within 926,Money,926
French is my favorite,Cuisine,French
I'm ready to spend 325,Money,325
I'm located in Tainan City,Location,Tainan City
Barguna is my place,Location,Barguna
I love Amerikai food,Cuisine,Amerikai
I can spend up to 781,Money,781
Kuching is my current Kuching,Location,Kuching
I'm in the mood for Bakery,Cuisine,Bakery
From Davao City Davao del Sur here,Location,Davao City Davao del Sur
I enjoy ငါး,Cuisine,ငါး
I love Dessert food,Cuisine,Dessert
I'm in the mood for Japonská,Cuisine,Japonská
My budget is 38,Money,38
I'm comfortable spending 179,Money,179
I'm comfortable spending 339,Money,339
I have 439 to spend,Money,439
I have 210 to spend,Money,210
I'm looking for Indonesian,Cuisine,Indonesian
I want to spend around 569,Money,569
I'm willing to pay 241,Money,241
Puchong is my current location,Location,Puchong
I want to spend around 760,Money,760
I live in Savannakhet,Location,Savannakhet
I have around 485 for the meal,Money,485
My favorite is ຕາເວັນຕົກ,Cuisine,ຕາເວັນຕົກ
How about အချိုပွဲများ,Cuisine,အချိုပွဲများ
My current Barisal is Barisal,Location,Barisal
Hailing from Chiang Mai,Location,Chiang Mai
My home Mandalay is Mandalay,Location,Mandalay
My budget is 309,Money,309
I want to spend around 185,Money,185
Liptovský Mikuláš is my current location,Location,Liptovský Mikuláš
How about Congee,Cuisine,Congee
I'm interested in ກະແລັມ,Cuisine,ກະແລັມ
Budapest is where I live,Location,Budapest
I am currently living in Terengganu,Location,Terengganu
Török is my favorite,Cuisine,Török
My favorite is ကြက်သား,Cuisine,ကြက်သား
I'm ready to spend 205,Money,205
I can spend up to 305,Money,305
I want to spend around 831,Money,831
My location is Phichit,Location,Phichit
My budget is 352,Money,352
I'm in the mood for Nasi Kandar,Cuisine,Nasi Kandar
Ulam is my favorite,Cuisine,Ulam
My favorite is Porridge,Cuisine,Porridge
I'm located in Tak,Location,Tak
Phitsanulok is where I reside,Location,Phitsanulok
Kushtia is where I live,Location,Kushtia
Kanchanaburi is my current Kanchanaburi,Location,Kanchanaburi
I'm looking for Fagyi,Cuisine,Fagyi
Pakistani is my favorite,Cuisine,Pakistani
My favorite is Indonesian,Cuisine,Indonesian
I'm interested in ပင်လယ်စာ,Cuisine,ပင်လယ်စာ
I have around 656 for the meal,Money,656
I'm in Nibong Tebal,Location,Nibong Tebal
Naogaon is my location,Location,Naogaon
I would like အသားညှပ်ပေါင်မုန့် cuisine,Cuisine,အသားညှပ်ပေါင်မုန့်
Phitsanulok is my place,Location,Phitsanulok
I'm ready to spend 953,Money,953
Kulai is where I live,Location,Kulai
Sungai Petani is my home,Location,Sungai Petani
From Sialkot here,Location,Sialkot
I can afford 411,Money,411
I'm interested in Sisig,Cuisine,Sisig
I want to spend around 466,Money,466
My budget is 363,Money,363
I would like French cuisine,Cuisine,French
Vientiane Capital is my home,Location,Vientiane Capital
I'm ready to spend 332,Money,332
I'm looking for something within 873,Money,873
Kepala Batas is my location,Location,Kepala Batas
I can afford 293,Money,293
I would like ဘာဘယ်တီး cuisine,Cuisine,ဘာဘယ်တီး
I'm in Roi Et,Location,Roi Et
I'm interested in အီတလီအစားအစာ,Cuisine,အီတလီအစားအစာ
I love Continental food,Cuisine,Continental
Let's go for ອາຫານຟິວຊັນ,Cuisine,ອາຫານຟິວຊັນ
Hailing from Cyberjaya,Location,Cyberjaya
I'm willing to pay 94,Money,94
I have 995 to spend,Money,995
I can spend up to 812,Money,812
I'm craving Rice Dishes,Cuisine,Rice Dishes
I love Pancakes & Waffles food,Cuisine,Pancakes & Waffles
I'm looking for something within 794,Money,794
I'm looking for German,Cuisine,German
Debrecen is where I live,Location,Debrecen
I'm looking for something within 767,Money,767
I'm interested in Porridge,Cuisine,Porridge
I'm in the mood for Pakistani,Cuisine,Pakistani
In Nakhon Si Thammarat right now,Location,Nakhon Si Thammarat
I live in Kuala Lumpur,Location,Kuala Lumpur
My home Trenčín is Trenčín,Location,Trenčín
I can spend up to 890,Money,890
I reside in Nakhon Pathom,Location,Nakhon Pathom
I can afford 267,Money,267
I'm willing to pay 392,Money,392
Lakshmipur is where I reside,Location,Lakshmipur
I have around 535 for the meal,Money,535
I live in Keelung City,Location,Keelung City
I love British food,Cuisine,British
Pécs is my location,Location,Pécs
I'm in Hong Kong,Location,Hong Kong
I'm in the mood for Muslim Cuisine,Cuisine,Muslim Cuisine
I can afford 525,Money,525
From Kampar here,Location,Kampar
Hailing from Košice,Location,Košice
Munshiganj is my current Munshiganj,Location,Munshiganj
Let's go for သက်သက်လွတ်,Cuisine,သက်သက်လွတ်
I love ထိုင်းအစားအစာ food,Cuisine,ထိုင်းအစားအစာ
Manila is my current location,Location,Manila
My current Rangpur is Rangpur,Location,Rangpur
I love အနောက်တိုင်းအစားအစာ food,Cuisine,အနောက်တိုင်းအစားအစာ
My location is Manila,Location,Manila
I can afford 625,Money,625
Kajang is my current Kajang,Location,Kajang
I want to spend around 269,Money,269
I can afford 573,Money,573
I'm looking for something within 981,Money,981
I'm ready to spend 363,Money,363
I have 174 to spend,Money,174
I'm in Phetchaburi,Location,Phetchaburi
Greek is my favorite,Cuisine,Greek
I enjoy Olasz,Cuisine,Olasz
How about Takoyaki,Cuisine,Takoyaki
My budget is 503,Money,503
I'm in Yilan County,Location,Yilan County
I'm in the mood for Libanoni,Cuisine,Libanoni
I want to spend around 82,Money,82
Kanchanaburi is my home,Location,Kanchanaburi
I'm looking for something within 785,Money,785
I love Libanoni food,Cuisine,Libanoni
Kushtia is where I reside,Location,Kushtia
I enjoy Middle Eastern,Cuisine,Middle Eastern
I reside in Sherpur,Location,Sherpur
I'm looking for something within 17,Money,17
I'm looking for something within 965,Money,965
My budget is 439,Money,439
I'm looking for something within 245,Money,245
ອາເມລິກາ is my favorite,Cuisine,ອາເມລິກາ
I'm craving Savouries,Cuisine,Savouries
How about Coffee,Cuisine,Coffee
Burgery is my favorite,Cuisine,Burgery
I reside in Siem Reap,Location,Siem Reap
Melaka is my place,Location,Melaka
I would like ອາຫານຈີນ cuisine,Cuisine,ອາຫານຈີນ
Hailing from Melaka,Location,Melaka
I would like ອາຫານເພື່ອສຸຂະພາບ cuisine,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
Fruits is my favorite,Cuisine,Fruits
I'm looking for Bangladeshi,Cuisine,Bangladeshi
I want to try Dumpling,Cuisine,Dumpling
I'm looking for Japonská,Cuisine,Japonská
I'm craving Northern Thai,Cuisine,Northern Thai
Let's go for Soups,Cuisine,Soups
I'm looking for ຍີ່ປຸ່ນ,Cuisine,ຍີ່ປຸ່ນ
I can afford 408,Money,408
I have 686 to spend,Money,686
I want to try အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
Manikganj is my current Manikganj,Location,Manikganj
I can spend up to 33,Money,33
I can afford 936,Money,936
I want to spend around 725,Money,725
Jessore is where I reside,Location,Jessore
I want to try Greek,Cuisine,Greek
I'm ready to spend 976,Money,976
Currently in Nakhon Si Thammarat,Location,Nakhon Si Thammarat
Let's go for ဘာဂါများ,Cuisine,ဘာဂါများ
I reside in Kampong Chhnang,Location,Kampong Chhnang
Taitung County is my location,Location,Taitung County
I love Görög food,Cuisine,Görög
I can afford 311,Money,311
I'm looking for something within 421,Money,421
I'm craving Pares,Cuisine,Pares
I'm interested in Szendvics,Cuisine,Szendvics
I'm located in Luang Prabang,Location,Luang Prabang
Sitiawan is my home,Location,Sitiawan
Makati City is my current Makati City,Location,Makati City
I'm comfortable spending 353,Money,353
My favorite is Vegetarian,Cuisine,Vegetarian
Yala is my current Yala,Location,Yala
Living in Lapu-Lapu City Cebu,Location,Lapu-Lapu City Cebu
Beijing is my favorite,Cuisine,Beijing
Rahim Yar Khan is where I reside,Location,Rahim Yar Khan
I'm willing to pay 248,Money,248
Sibu is where I live,Location,Sibu
My budget is 308,Money,308
I'm located in Phuket,Location,Phuket
I'm looking for something within 405,Money,405
I can spend up to 895,Money,895
Lamphun is my home,Location,Lamphun
I want to try Hong Kong,Cuisine,Hong Kong
I would like Olasz cuisine,Cuisine,Olasz
Currently in Nong Khai,Location,Nong Khai
I'm comfortable spending 850,Money,850
I enjoy Čínska,Cuisine,Čínska
I can afford 753,Money,753
My location is Kalasin,Location,Kalasin
I'm looking for ကြက်ကြော်,Cuisine,ကြက်ကြော်
I want to spend around 958,Money,958
I'm located in Taitung County,Location,Taitung County
I'm interested in အာရှ,Cuisine,အာရှ
I want to try Vietnamese,Cuisine,Vietnamese
I am currently living in Pécs,Location,Pécs
I'm ready to spend 130,Money,130
I would like Grúz cuisine,Cuisine,Grúz
I can spend up to 485,Money,485
ກາເຟ & ຊາ is my favorite,Cuisine,ກາເຟ & ຊາ
From Arau here,Location,Arau
My current Karachi is Karachi,Location,Karachi
